Name,Libraries
testClassInfo01,"soba/core/ClassInfo, org/objectweb/asm/MethodVisitor, org/objectweb/asm/tree/InsnList, org/objectweb/asm/tree/ClassNode, org/hamcrest/core/Is, java/io/FileInputStream, org/hamcrest/core/IsNot, java/util/List, org/objectweb/asm/tree/Util, org/hamcrest/core/IsNull, org/hamcrest/Matcher, org/hamcrest/collection/IsCollectionWithSize, java/lang/String, org/hamcrest/collection/IsIterableContainingInAnyOrder, soba/core/MD5, org/objectweb/asm/tree/FieldInsnNode, org/hamcrest/FeatureMatcher, org/hamcrest/TypeSafeMatcher, java/util/Iterator, org/objectweb/asm/ClassReader, java/util/Map, soba/util/TestUtil, org/objectweb/asm/tree/TypeInsnNode, java/util/HashMap, soba/util/files/FileUtil, org/objectweb/asm/tree/LineNumberNode, org/hamcrest/Description, org/objectweb/asm/tree/InsnNode, org/hamcrest/core/IsEqual, org/objectweb/asm/tree/MethodNode, java/lang/Iterable, java/io/ByteArrayOutputStream, org/hamcrest/TypeSafeDiagnosingMatcher, java/lang/StringBuilder, org/hamcrest/internal/ReflectiveTypeFinder, org/objectweb/asm/Label, java/io/InputStream, org/hamcrest/MatcherAssert, org/objectweb/asm/commons/JSRInlinerAdapter, org/objectweb/asm/tree/LdcInsnNode, java/util/BitSet, java/lang/Integer, java/lang/reflect/Method, org/objectweb/asm/tree/MethodInsnNode, org/objectweb/asm/tree/VarInsnNode, org/objectweb/asm/ClassVisitor, org/hamcrest/collection/IsEmptyCollection, java/util/ArrayList, org/hamcrest/BaseMatcher, org/objectweb/asm/tree/LabelNode, java/io/File, java/lang/Object, java/lang/Class, org/hamcrest/Matchers, soba/core/MethodInfo, java/lang/Boolean, org/objectweb/asm/tree/AbstractInsnNode, java/util/Collection, org/objectweb/asm/tree/LocalVariableNode, org/objectweb/asm/Context, java/security/MessageDigest"
testClassInfo02,"soba/core/ClassInfo, org/objectweb/asm/MethodVisitor, org/objectweb/asm/tree/InsnList, org/objectweb/asm/tree/ClassNode, org/hamcrest/core/Is, java/io/FileInputStream, org/hamcrest/core/IsNot, java/util/List, org/objectweb/asm/tree/Util, org/hamcrest/core/IsNull, org/hamcrest/Matcher, org/hamcrest/collection/IsCollectionWithSize, java/lang/String, org/objectweb/asm/tree/FieldNode, soba/core/MD5, org/objectweb/asm/tree/FieldInsnNode, org/hamcrest/FeatureMatcher, org/hamcrest/TypeSafeMatcher, java/util/Iterator, org/objectweb/asm/ClassReader, java/util/Map, soba/util/TestUtil, soba/core/FieldInfo, java/util/HashMap, org/objectweb/asm/tree/LineNumberNode, org/hamcrest/Description, org/objectweb/asm/tree/InsnNode, org/hamcrest/core/IsEqual, org/objectweb/asm/tree/MethodNode, java/lang/Double, org/hamcrest/TypeSafeDiagnosingMatcher, java/io/ByteArrayOutputStream, java/lang/StringBuilder, org/hamcrest/internal/ReflectiveTypeFinder, org/objectweb/asm/Label, java/io/InputStream, org/hamcrest/MatcherAssert, org/objectweb/asm/commons/JSRInlinerAdapter, org/objectweb/asm/tree/LdcInsnNode, java/util/BitSet, java/lang/Integer, java/lang/reflect/Method, org/objectweb/asm/tree/MethodInsnNode, org/objectweb/asm/tree/VarInsnNode, org/objectweb/asm/ClassVisitor, org/hamcrest/collection/IsEmptyCollection, java/util/ArrayList, org/objectweb/asm/FieldVisitor, org/hamcrest/BaseMatcher, org/objectweb/asm/tree/LabelNode, java/io/File, java/lang/Object, java/lang/Class, org/hamcrest/Matchers, soba/core/MethodInfo, java/lang/Boolean, org/objectweb/asm/tree/AbstractInsnNode, java/util/Collection, soba/util/files/FileUtil, org/objectweb/asm/tree/LocalVariableNode, org/objectweb/asm/Context, java/security/MessageDigest"
testLibrary01,"soba/core/ClassInfo, org/objectweb/asm/MethodVisitor, org/objectweb/asm/tree/InsnList, org/objectweb/asm/tree/ClassNode, org/hamcrest/core/Is, java/io/FileInputStream, java/util/List, org/objectweb/asm/tree/Util, org/hamcrest/Matcher, java/lang/String, org/objectweb/asm/tree/FieldNode, soba/core/MD5, org/objectweb/asm/tree/FieldInsnNode, java/util/Iterator, org/objectweb/asm/ClassReader, java/util/Map, soba/util/TestUtil, soba/core/FieldInfo, java/util/HashMap, org/objectweb/asm/tree/LineNumberNode, org/objectweb/asm/tree/InsnNode, org/hamcrest/core/IsEqual, org/objectweb/asm/tree/MethodNode, java/lang/Double, java/io/ByteArrayOutputStream, java/lang/StringBuilder, org/objectweb/asm/Label, java/io/InputStream, org/hamcrest/MatcherAssert, org/objectweb/asm/commons/JSRInlinerAdapter, org/objectweb/asm/tree/LdcInsnNode, java/util/BitSet, java/lang/Integer, org/objectweb/asm/tree/MethodInsnNode, org/objectweb/asm/tree/VarInsnNode, org/objectweb/asm/ClassVisitor, java/util/ArrayList, org/objectweb/asm/FieldVisitor, org/hamcrest/BaseMatcher, org/objectweb/asm/tree/LabelNode, java/io/File, java/lang/Object, java/lang/Class, org/hamcrest/Matchers, soba/core/MethodInfo, java/lang/Boolean, org/objectweb/asm/tree/AbstractInsnNode, soba/util/files/FileUtil, org/objectweb/asm/tree/LocalVariableNode, org/objectweb/asm/Context, java/security/MessageDigest"
testGetPackageName,"soba/core/ClassInfo, org/hamcrest/core/IsEqual, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, soba/core/FieldInfo"
testGetClassName,"soba/core/ClassInfo, org/hamcrest/core/IsEqual, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, soba/core/FieldInfo"
testGetFieldName,"org/hamcrest/core/IsEqual, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, soba/core/FieldInfo"
testGetDescriptor,"org/hamcrest/core/IsEqual, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, soba/core/FieldInfo"
testGetFieldTypeName,"org/hamcrest/core/IsEqual, soba/core/signature/TypeResolver, org/hamcrest/core/Is, org/objectweb/asm/signature/SignatureReader, soba/core/signature/TypeVisitor, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/StringBuilder, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, org/objectweb/asm/signature/SignatureVisitor, java/lang/String, soba/core/FieldInfo, java/util/concurrent/ConcurrentHashMap, java/util/Map"
testGetTypeName,"org/hamcrest/core/IsEqual, soba/core/signature/TypeResolver, org/hamcrest/core/Is, org/objectweb/asm/signature/SignatureReader, soba/core/signature/TypeVisitor, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/StringBuilder, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, org/objectweb/asm/signature/SignatureVisitor, java/lang/String, java/util/Map"
testGetVariableEntryCount,"org/hamcrest/core/IsEqual, java/util/ArrayList, org/hamcrest/core/Is, soba/core/method/LocalVariables, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, java/lang/Integer"
