Name,Libraries
testGetSuperClass,"org/hamcrest/Matchers, org/hamcrest/MatcherAssert, java/util/Map, org/hamcrest/Matcher, java/lang/Class, java/lang/Object, org/hamcrest/core/IsNull, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, soba/core/ClassHierarchy, org/hamcrest/core/IsEqual, java/lang/String, java/util/Set"
testIsSamePackage,"org/hamcrest/Matchers, java/util/Map, org/hamcrest/Matcher, java/lang/Class, java/util/Set, java/lang/Boolean, soba/core/ClassInfo, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, soba/core/ClassHierarchy, org/hamcrest/core/IsEqual, java/lang/String, org/hamcrest/MatcherAssert"
testGetSubtypes,"java/lang/Iterable, org/hamcrest/collection/IsEmptyCollection, java/lang/String, org/hamcrest/Matchers, java/util/Collection, java/util/Map, org/hamcrest/Matcher, org/hamcrest/MatcherAssert, java/lang/Class, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, soba/core/ClassHierarchy, org/hamcrest/internal/ReflectiveTypeFinder, org/hamcrest/core/IsEqual, org/hamcrest/TypeSafeDiagnosingMatcher, java/util/Iterator, java/util/List, java/lang/reflect/Method, org/hamcrest/TypeSafeMatcher, java/lang/Object, org/hamcrest/collection/IsIterableContainingInAnyOrder, org/hamcrest/Description, java/util/ArrayList"
testGetAllSubtypes,"java/lang/Iterable, java/lang/String, org/hamcrest/Matchers, java/util/Collection, java/util/Map, org/hamcrest/Matcher, java/util/Set, org/hamcrest/MatcherAssert, java/util/HashSet, java/lang/Class, org/hamcrest/BaseMatcher, soba/core/ClassHierarchy, org/hamcrest/internal/ReflectiveTypeFinder, java/util/Iterator, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/core/IsEqual, java/util/List, java/lang/reflect/Method, java/util/Stack, java/lang/Object, org/hamcrest/collection/IsIterableContainingInAnyOrder, org/hamcrest/Description, java/util/ArrayList"
testListAllSuperTypes,"java/lang/Iterable, java/util/Queue, java/lang/String, org/hamcrest/Matchers, java/util/Collection, java/util/Map, org/hamcrest/Matcher, java/util/LinkedList, org/hamcrest/MatcherAssert, java/util/Set, java/util/HashSet, java/lang/Class, org/hamcrest/BaseMatcher, soba/core/ClassHierarchy, org/hamcrest/internal/ReflectiveTypeFinder, java/util/Iterator, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/core/IsEqual, java/util/List, java/lang/reflect/Method, java/lang/Object, org/hamcrest/collection/IsIterableContainingInAnyOrder, org/hamcrest/Description, java/util/ArrayList"
testGetSuperInterfaces,"java/lang/Iterable, org/hamcrest/collection/IsEmptyCollection, java/lang/String, org/hamcrest/Matchers, java/util/Collection, java/util/Map, org/hamcrest/Matcher, org/hamcrest/MatcherAssert, java/lang/Class, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, soba/core/ClassHierarchy, org/hamcrest/internal/ReflectiveTypeFinder, org/hamcrest/core/IsEqual, org/hamcrest/TypeSafeDiagnosingMatcher, java/util/Iterator, java/util/List, java/lang/reflect/Method, org/hamcrest/TypeSafeMatcher, java/lang/Object, org/hamcrest/collection/IsIterableContainingInAnyOrder, org/hamcrest/Description, java/util/ArrayList"
testResolveCall01,"java/lang/Iterable, soba/core/ClassHierarchyTest, java/lang/String, org/hamcrest/Matchers, java/util/Collection, java/util/Map, org/hamcrest/Matcher, soba/core/ClassInfo, org/hamcrest/MatcherAssert, java/lang/Class, org/hamcrest/BaseMatcher, soba/core/ClassHierarchy, org/hamcrest/internal/ReflectiveTypeFinder, java/util/Iterator, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/core/IsEqual, java/util/List, java/lang/reflect/Method, java/lang/Object, soba/core/MethodInfo, org/hamcrest/collection/IsIterableContainingInAnyOrder, org/hamcrest/Description, java/util/ArrayList"
testResolveCall02,"java/lang/Iterable, soba/core/ClassHierarchyTest, java/lang/String, org/hamcrest/Matchers, java/util/Collection, java/util/Map, org/hamcrest/Matcher, soba/core/ClassInfo, java/util/Set, org/hamcrest/MatcherAssert, java/util/HashSet, java/lang/Class, org/hamcrest/BaseMatcher, soba/core/ClassHierarchy, org/hamcrest/internal/ReflectiveTypeFinder, java/util/Iterator, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/Description, org/hamcrest/core/IsEqual, java/util/List, java/lang/reflect/Method, java/lang/Object, soba/core/MethodInfo, org/hamcrest/collection/IsIterableContainingInAnyOrder, java/util/Stack, java/util/ArrayList"
testResolveCall03,"java/lang/Iterable, soba/core/ClassHierarchyTest, java/lang/String, org/hamcrest/Matchers, java/util/Collection, java/util/Map, org/hamcrest/Matcher, soba/core/ClassInfo, java/util/Set, org/hamcrest/MatcherAssert, java/util/HashSet, java/lang/Class, org/hamcrest/BaseMatcher, soba/core/ClassHierarchy, org/hamcrest/internal/ReflectiveTypeFinder, java/util/Iterator, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/Description, org/hamcrest/core/IsEqual, java/util/List, java/lang/reflect/Method, java/lang/Object, soba/core/MethodInfo, org/hamcrest/collection/IsIterableContainingInAnyOrder, java/util/Stack, java/util/ArrayList"
testResolveCall04,"java/lang/Iterable, soba/core/ClassHierarchyTest, java/lang/String, org/hamcrest/Matchers, java/util/Collection, java/util/Map, org/hamcrest/Matcher, soba/core/ClassInfo, java/util/Set, org/hamcrest/MatcherAssert, java/util/HashSet, java/lang/Class, org/hamcrest/BaseMatcher, soba/core/ClassHierarchy, org/hamcrest/internal/ReflectiveTypeFinder, java/util/Iterator, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/Description, org/hamcrest/core/IsEqual, java/util/List, java/lang/reflect/Method, java/lang/Object, soba/core/MethodInfo, org/hamcrest/collection/IsIterableContainingInAnyOrder, java/util/Stack, java/util/ArrayList"
testResolveCall05,"java/lang/Iterable, soba/core/ClassHierarchyTest, java/lang/String, org/hamcrest/Matchers, java/util/Collection, java/util/Map, org/hamcrest/Matcher, soba/core/ClassInfo, java/util/Set, org/hamcrest/MatcherAssert, java/util/HashSet, java/lang/Class, org/hamcrest/BaseMatcher, soba/core/ClassHierarchy, org/hamcrest/internal/ReflectiveTypeFinder, java/util/Iterator, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/Description, org/hamcrest/core/IsEqual, java/util/List, java/lang/reflect/Method, java/lang/Object, soba/core/MethodInfo, org/hamcrest/collection/IsIterableContainingInAnyOrder, java/util/Stack, java/util/ArrayList"
